id,name,type,sex,michelin_rating ,nationality ,county,alive,,,cuisine_style
janhar,Jan Hartwig,chef,2,3,deutsch,NA,1,,,NA
Rjan,JAN,restaurant,NA,3,NA,by,NA,,,innovativ
Rgästehausklauserfort,GästeHaus Klaus Erfort,restaurant,NA,2,NA,sl,NA,,,fusion
klaerf,Klaus Erfort,chef,2,2,deutsch,NA,1,,,NA
sveelv,Sven Elverfeld,chef,2,3,deutsch,NA,1,,,NA
Raqua,Aqua,restaurant,NA,3,NA,ni,NA,,,innovativ
Ratelier,Atelier,restaurant,NA,2,NA,by,NA,,,fusion
Rschwarzwaldstube,Schwarzwaldstube,restaurant,NA,3,NA,bw,NA,,,französisch
harwoh,Harald Wohlfahrt,chef,2,3,deutsch,NA,1,,,NA
tormic,Torsten Michel,chef,2,3,deutsch,NA,1,,,NA
eckwit,Eckart Witzigmann,chef,2,3,österreichisch,NA,1,,,NA
pauboc,Paul Bocuse,chef,2,3,französisch,NA,2,,,NA
heiwin,Heinz Winkler,chef,2,3,deutsch,NA,2,,,NA
clalum,Claus-Peter Lumpp,chef,2,3,deutsch,NA,1,,,NA
Rrestaurantbareiss,Restaurant Bareiss,restaurant,NA,3,NA,bw,NA,,,französisch
johkin,Johannes King,chef,2,2,deutsch,NA,1,,,NA
marmül,Marco Müller,chef,2,3,deutsch,NA,1,,,NA
Rrutz,Rutz,restaurant,NA,3,NA,be,NA,,,innovativ
cleram,Clemens Rambichler,chef,2,3,deutsch,NA,1,,,NA
Rwaldhotelsonnora,Waldhotel Sonnora,restaurant,NA,3,NA,rp,NA,,,fusion
kevfeh,Kevin Fehling,chef,2,3,deutsch,NA,1,,,NA
Rthetablekevinfehling,The Table Kevin Fehling,restaurant,NA,3,NA,hh,NA,,,fusion
chrbau,Christian Bau,chef,2,3,deutsch,NA,1,,,NA
Rvictorsfinediningbychristianbau,Victor's Fine Dining by Christian Bau,restaurant,NA,3,NA,bw,NA,,,fusion
thosch,Thomas Schanz,chef,2,3,deutsch,NA,1,,,NA
Rschanzrestaurant,schanz. restaurant,restaurant,NA,3,NA,rp,NA,,,deutsch
helthi,Helmut Thieltges,chef,2,3,deutsch,NA,2,,,NA
chrjür,Christian Jürgens,chef,2,3,deutsch,NA,1,,,NA
Rrestaurantüberfahrtchristianjürgens,Restaurant Überfahrt Christian Jürgens,,NA,3,NA,by,NA,,,NA
dansch,Daniel Schimkowitsch,chef,2,2,deutsch,NA,1,,,NA
Rlajordan,L.A. Jordan,restaurant,NA,2,NA,rp,NA,,,NA
julsto,Julian Stowasser,chef,2,2,deutsch,NA,1,,,NA
Rlakeside,Lakeside,restaurant,NA,2,NA,hh,NA,,,NA
Raloisdallmayrfinedining,Alois - Dallmayr Fine Dining,restaurant,NA,2,NA,by,NA,,,NA
bengal,Benjamin Gallein,chef,2,2,deutsch,NA,1,,,NA
silnic,Silvio Nickol,chef,2,2,deutsch,NA,1,,,NA
Rvotum,Votum,restaurant,NA,2,NA,ni,NA,,,NA
thoben,Thorsten Bender,chef,2,2,deutsch,NA,1,,,NA
Rsein,sein,restaurant,NA,2,NA,bw,NA,,,NA
rosost,Rosina Ostler,chef,1,2,deutsch,NA,1,,,NA
Rcoeurdartichaut,Coeur D'Artichaut,restaurant,NA,2,NA,nw,NA,,,NA
fremor,Frédéric Morel,chef,2,2,französisch,NA,1,,,NA
thokel,Thomas Kellermann,chef,2,2,deutsch,NA,1,,,NA
Rgourmetrestaurantdichter,Gourmetrestaurant Dichter,restaurant,NA,2,NA,by,NA,,,NA
hanhaa,Hans Haas,chef,2,2,österreichisch,NA,1,,,NA
nicnus,Niclas Nussbaumer,chef,2,2,deutsch,NA,1,,,NA
Rmühle,Mühle,restaurant,NA,2,NA,bw,NA,,,NA
yannoa,Yannick Noack,chef,2,2,deutsch,NA,1,,,NA
Rpurs,PURS,restaurant,NA,2,NA,rp,NA,,,NA
chrgrü,Christian Grünwald,chef,2,2,deutsch,NA,1,,,NA
Raugust,AUGUST,restaurant,NA,2,NA,by,NA,,,NA
Rvendome,Vendôme,restaurant,NA,2,NA,nw,NA,,,NA
joawis,Joachim Wissler,chef,2,2,deutsch,NA,1,,,NA
Rcodadessertdining,Coda Dessert Dining,restaurant,NA,2,NA,be,NA,,,NA
renfra,René Frank,chef,2,2,deutsch,NA,1,,,NA
joager,Joachim Gerner,chef,2,2,österreichisch,NA,1,,,NA
Rfacil,FACIL,restaurant,NA,2,NA,be,NA,,,NA
Rhorvath,Horváth,restaurant,NA,2,NA,be,NA,,,NA
sebfra,Sebastian Frank,chef,2,2,österreichisch,NA,1,,,NA
Rlorenzadlonesszimmer,Lorenz Adlon Esszimmer,restaurant,NA,2,NA,be,NA,,,NA
retbrä,Reto Brändli,chef,2,2,schweizerisch,NA,1,,,NA
timrau,Tim Raue,chef,2,2,deutsch,NA,1,,,NA
Rtimraue,Tim Raue,restaurant,NA,2,NA,be,NA,,,NA
manulr,Manuel Ulrich,chef,2,2,deutsch,NA,1,,,NA
Röschnoir,Ösch Noir,restaurant,NA,2,NA,bw,NA,,,NA
jocbus,Jochim Busch,chef,2,2,deutsch,NA,1,,,NA
Rgustav,Gustav,restaurant,NA,2,NA,he,NA,,,NA
andkro,Andreas Krolik,chef,2,2,deutsch,NA,1,,,NA
Rlafleur,Lafleur,restaurant,NA,2,NA,he,NA,,,NA
dirlut,Dirk Luther,chef,2,2,deutsch,NA,1,,,NA
Rmeiereidirkluther,Meierei Dirk Luther,restaurant,NA,2,NA,sh,NA,,,NA
edisig,Edip Sigl,chef,2,2,deutsch,NA,1,,,NA
Ressenz,ES:SENZ,restaurant,NA,2,NA,by,NA,,,NA
thoimb,Thomas Imbusch,chef,2,2,deutsch,NA,1,,,NA
R100200kitchen,100/200 Kitchen,restaurant,NA,2,NA,hh,NA,,,NA
matfer,Matteo Ferrantino,chef,2,2,italienisch,NA,1,,,NA
Rbianc,bianc,restaurant,NA,2,NA,hh,NA,,,NA
Rhaerlin,Haerlin,restaurant,NA,2,NA,hh,NA,,,NA
chrrüf,Christoph Rüffer,chef,2,2,deutsch,NA,1,,,NA
Rjante,Jante,restaurant,NA,2,NA,ni,NA,,,NA
tonhoh,Tony Hohlfeld,chef,2,2,deutsch,NA,1,,,NA
erimen,Eric Menton,chef,2,2,französisch,NA,1,,,NA
Rlemoissonnier,Le Moissonnier,restaurant,NA,2,NA,nw,NA,,,NA
dangot,Daniel Gottschlich,chef,2,2,deutsch,NA,1,,,NA
Roxklee,Ox & Klee,restaurant,NA,2,NA,nw,NA,,,NA
dirhob,Dirk Hoberg,chef,2,2,deutsch,NA,1,,,NA
Rophelia,Ophelia,restaurant,NA,2,NA,bw,NA,,,NA
chrrai,Christoph Rainer,chef,2,2,deutsch,NA,1,,,NA
Rlucedoro,Luce d'Oro,restaurant,NA,2,NA,by,NA,,,NA
dompau,Dominik Paul,chef,2,2,deutsch,NA,1,,,NA
Ropusv,OPUS V,restaurant,NA,2,NA,bw,NA,,,NA
antgsc,Anton Gschwendter,chef,2,2,deutsch,NA,1,,,NA
bobbrä,Bobby Bräuer,chef,2,2,deutsch,NA,1,,,NA
Resszimmer,EssZimmer,restaurant,NA,2,NA,by,NA,,,NA
Rtantris,Tantris,restaurant,NA,2,NA,by,NA,,,NA
benchu,Benjamin Chmura,chef,2,2,kanadisch,NA,1,,,NA
tohnak,Tohru Nakamura,chef,2,2,deutsch,NA,1,,,NA
Rtohruinderschreiberei,Tohru in der Schreiberei,restaurant,NA,2,NA,by,NA,,,NA
chrbin,Christian Binder,chef,2,2,deutsch,NA,1,,,NA
Rsteinheuersrestaurantzuraltenpost,Steinheuers Restaurant Zur Alten Post,restaurant,NA,2,NA,rp,NA,,,NA
sebobe,Sebastian Obendorfer,chef,2,2,deutsch,NA,1,,,NA
Robendorferseisvogel,Obendorfers Eisvogel,restaurant,NA,2,NA,by,NA,,,NA
yveoll,Yves Ollech,chef,2,2,deutsch,NA,1,,,NA
Ressigbrätlein,Essigbrätlein,restaurant,NA,2,NA,by,NA,,,NA
felsch,Felix Schneider,chef,2,2,deutsch,NA,1,,,NA
Retz,etz,restaurant,NA,2,NA,by,NA,,,NA
Rlepavillon,Le Pavillon,restaurant,NA,2,NA,bw,NA,,,NA
marher,Martin Herrmann,chef,2,2,deutsch,NA,1,,,NA
pethag,Peter Hagen-Wiest,chef,2,2,deutsch,NA,1,,,NA
Rammolitethelighthouserestaurant,ammolite - The Lighthouse Restaurant,restaurant,NA,2,NA,bw,NA,,,NA
chrfle,Christian Fleischmann,chef,2,2,deutsch,NA,1,,,NA
silfab,Silio Del Fabro,chef,2,2,deutsch,NA,1,,,NA
Resplanade,Esplanade,restaurant,NA,2,NA,sl,NA,,,NA
sebsan,Sebastian Sandor,chef,2,2,deutsch,NA,1,,,NA
Rlouisrestaurant,LOUIS restaurant,restaurant,NA,2,NA,sl,NA,,,NA
stegsc,Stefan Gschwendter,chef,2,2,deutsch,NA,1,,,NA
Rspeisemeisterei,Speisemeisterei,restaurant,NA,2,NA,bw,NA,,,bw
douste,Douce Steiner,chef,1,2,deutsch,NA,1,,,NA
Rhirschen,Hirschen,restaurant,NA,2,NA,bw,NA,,,NA
Rsölringhof,Söl'ring Hof,restaurant,NA,2,NA,sh,NA,,,NA
janber,Jan-Philipp Berner,chef,2,2,deutsch,NA,1,,,NA
frakel,Franz Keller,chef,2,1,deutsch,NA,1,,,NA
chrsch,Christian Scharrer,chef,2,2,deutsch,NA,1,,,NA
Rcourtier,Courtier,restaurant,NA,2,NA,sh,NA,,,NA
aleher,Alexander Herrmann,chef,2,2,deutsch,NA,1,,,NA
tobbät,Tobias Bätz,chef,2,2,deutsch,NA,1,,,NA
Raurabyalexanderherrmanntobiasbätz,AURA by Alexander Herrmann & Tobias Bätz,restaurant,NA,2,NA,by,NA,,,NA
Rlecerf,Le Cerf,restaurant,NA,2,NA,bw,NA,,,NA
Rthenoname,The NOname,restaurant,NA,1,NA,be,NA,,,
timtan,Tim Tanneberger,chef,2,1,deutsch,NA,1,,,
borrom,Boris Rommel,chef,2,2,deutsch,NA,1,,,NA
zsofod,Zsolt Fodor,chef,2,1,ungarisch,NA,1,,,NA
Rsolodu,Solo Du,restaurant,NA,1,NA,by,NA,,,NA
dansch2,Danny Schwabe,chef,2,1,deutsch,NA,1,,,NA
Rmasters,Masters,restaurant,NA,1,NA,th,NA,,,NA
jasgro,Jason Grom,chef,2,1,deutsch,NA,1,,,NA
Rdieburg,die burg,restaurant,NA,1,NA,bw,NA,,,NA
benkri,Benjamin Kriegel,chef,2,1,deutsch,NA,1,,,NA
Rpinkpepper,Pink Pepper,restaurant,NA,1,NA,nw,NA,,,NA
markaz,Marcel Kazda,chef,2,1,NA,NA,1,,,NA
Rdasgarboimlöwen,Das garbo im Löwen,restaurant,NA,1,NA,bw,NA,,,NA
Rclararestaurantimkaisersaal,Clara - Restaurant im Kaisersaal,restaurant,NA,1,NA,th,NA,,,NA
chrwei,Christopher Weigel,chef,2,1,deutsch,NA,1,,,NA
jürket,Jürgen Kettner,chef,2,1,deutsch,NA,1,,,NA
Rkettnerskamota,Kettner's Kamota,restaurant,NA,1,NA,th,NA,,,NA
patlöh,Patrick Löhl,chef,2,1,deutsch,NA,1,,,NA
Rbidlabu,bidlabu,restaurant,NA,1,NA,he,NA,,,NA
manwim,Manuel Wimmer,chef,2,1,deutsch,NA,1,,,NA
Rgourmetrestaurantimkarner,Gourmet Restaurant im Karner,restaurant,NA,1,NA,by,NA,,,NA
henwei,Henrik Weiser,chef,2,1,deutsch,NA,1,,,NA
Rcolombirestaurant,Colombi Restaurant,restaurant,NA,1,NA,bw,NA,,,NA
sveusi,Sven Usinger,chef,2,1,deutsch,NA,1,,,NA
frecam,Frederico Campolattano,chef,2,1,italienisch,NA,1,,,NA
Reichhalde,Eichhalde,restaurant,NA,1,NA,bw,NA,,,NA
Rwolfshöhle,Wolfshöhle,restaurant,NA,1,NA,bw,NA,,,NA
marfau,Martin Fauster ,chef,2,1,deutsch,NA,1,,,NA
kevbür,Kevin Bürmann,chef,2,1,deutsch,NA,1,,,NA
Rhaebel,haebel,restaurant,NA,1,NA,hh,NA,,,NA
davwei,David Weigang,chef,2,1,deutsch,NA,1,,,NA
Rverbene,Verbene,restaurant,NA,1,NA,rp,NA,,,NA
julkom,Julia Komp,chef,1,1,deutsch,NA,1,,,NA
Rsahilatherestaurant,Sahila - The Restaurant,restaurant,NA,1,NA,nw,NA,,,NA
klasch,Klaus Schunack,chef,2,1,deutsch,NA,1,,,NA
Rkuultivo,Kuultivo,restaurant,NA,1,NA,sn,NA,,,NA
tomels,Tom Elstermeyer,chef,2,1,deutsch,NA,1,,,NA
Riko,IKO,restaurant,NA,1,NA,ni,NA,,,NA
Rmarburgeresszimmer,MARBURGER Esszimmer,restaurant,NA,1,NA,he,NA,,,NA
denfei,Denis Feix,chef,2,1,deutsch,NA,1,,,NA
harbor,Harry Borst,chef,2,1,deutsch,NA,1,,,NA
Rborst,Borst,restaurant,NA,1,NA,rp,NA,,,NA
maxbor,Maximilian Borst,chef,2,1,deutsch,NA,1,,,NA
danbod,Daniel Bodamer,chef,2,1,deutsch,NA,1,,,
Rbrothers,Brothers,restaurant,NA,1,NA,by,NA,,,
Rmuralfarmhouse,mural farmhouse - FINE DINE,restaurant,NA,1,NA,by,NA,,,
maxhub,Maximilian Huber,chef,2,1,deutsch,NA,1,,,
Rbok,BOK Restaurant Brust oder Keule,restaurant,NA,1,NA,nw,NA,,,
laukux,Laurin Kux,chef,2,1,deutsch,NA,1,,,
karspi,Karl-Nikolas Spitzner,chef,2,1,deutsch,NA,1,,,
Rspitzner,Spitzner,restaurant,NA,1,NA,nw,NA,,,
renste,René Stein,chef,2,1,deutsch,NA,1,,,
Rtisane,Tisane,restaurant,NA,1,NA,by,NA,,,
domwac,Dominik Wachter,chef,2,1,deutsch,NA,1,,,
Rwachterfoodbar,Wachter Foodbar,restaurant,NA,1,NA,by,NA,,,
julrei,Julius Reisch,chef,2,1,deutsch,NA,1,,,
Resszimmerimoberschwäbischenhof,Esszimmer im Oberschwäbischen Hof,restaurant,NA,1,Na,bw,NA,,,
danmäs,Daniel Mästling,chef,2,1,deutsch,NA,1,,,
Rhegeleins,Hegel Eins,restaurant,NA,1,NA,bw,NA,,,
gersch,Gerald Schöberl,chef,2,1,deutsch,NA,1,,,
Rbagatelle,Bagatelle,restaurant,NA,1,NA,rp,NA,,,
alimei,Alina Meissner-Bebrout,chef,1,1,deutsch,NA,1,,,
Rbibraud,bi:braud,restaurant,NA,1,NA,bw,NA,,,
benpfe,Benjamin Pfeifer,chef,2,1,deutsch,NA,1,,,
Rintense,Intense,restaurant,NA,1,NA,rp,NA,,,
maraku,Marco Akuzun,chef,2,1,deutsch,NA,1,,,
Rmarkos,MARKOS,restaurant,NA,1,NA,bw,NA,,,
,,,,,,,,,,
,,,,,,,,,,
domale,Domenik Alex,chef,2,1,deutsch,NA,1,,,NA
Rgasthofalex,Gasthof Alex,restaurant,NA,1,NA,by,1,,,NA
nikber,Nikodemus Berger,chef,2,1,deutsch,NA,1,,,NA
Rbonvivant,Bonvivant,restaurant,NA,1,NA,be,1,,,NA
andsch,Andreas Schaffrath,chef,2,1,deutsch,NA,1,,,NA
Rlabecasse,La Bécasse,restaurant,NA,1,NA,nw,1,,,NA
Rsanktbenedikt,Sankt Benedikt,restaurant,NA,1,NA,nw,1,,,NA
maxkre,Maximilian Kreus,chef,2,1,deutsch,NA,1,,,NA
Rimschiffchen,Im Schiffchen,restaurant,NA,1,NA,nw,1,,,NA
jeabou,Jean-Claude Bourgueil,chef,2,1,französisch,NA,1,,,NA
Rschattbuch,Schattbuch,restaurant,NA,1,NA,bw,1,,,NA
chrmar,Christian Mar,chef,2,1,NA,NA,1,,,NA
Rschwabenstube,Schwabenstube,restaurant,NA,1,NA,bw,1,,,NA
maxspe,Max Speyer,chef,2,1,NA,NA,1,,,NA
Rsoulfood,SoulFood,restaurant,NA,1,NA,by,1,,,NA
miclau,Michael Laus,chef,2,1,NA,NA,1,,,NA
chrheß,Christine Heß,chef,1,1,NA,NA,1,,,NA
Ralteliebe,Alte Liebe,restaurant,NA,1,NA,by,1,,,NA
benmit,Benjamin Mitschele,chef,2,1,NA,NA,1,,,NA
Rsartory,Sartory,restaurant,NA,1,NA,by,1,,,NA
simlan,Simon Lang,chef,2,1,deutsch,NA,1,,,NA
Rlejardindefrance,Le Jardin de France im Stahlbad,restaurant,NA,1,NA,bw,1,,,NA
steber,Stéphan Bernhard,chef,2,1,NA,NA,1,,,NA
Rmalteshiddenkitchen,Maltes hidden kitchen,restaurant,NA,1,NA,bw,1,,,NA
malkuh,Malte Kuhn,chef,2,1,deutsch,NA,1,,,NA
Rgasthauszumraben,Gasthaus zum Raben,restaurant,NA,1,NA,bw,1,,,NA
stedis,Steffen Disch,chef,2,NA,deutsch,NA,1,,,NA
R1789,1789,restaurant,NA,1,NA,bw,1,,,NA
flosto,Florian Stolte,chef,2,1,deutsch,NA,1,,,NA
Rschlossberg,Schlossberg,restaurant,NA,1,NA,bw,1,,,NA
jörsac,Jörg Sackmann,chef,2,1,deutsch,NA,1,,,NA
nicsac,Nico Sackmann,chef,2,1,deutsch,NA,1,,,NA
,,,,,,,,,,
Rpur,PUR,restaurant,NA,1,NA,by,1,,,NA
ulrhei,Ulrich Heimann,chef,2,1,deutsch,NA,1,,,NA
Rbandolsurmer,Bandol sur mer,restaurant,NA,1,NA,be,1,,,NA
andsau,Andreas Saul,chef,2,1,deutsch,NA,1,,,NA
Rbieberbau,Bieberbau,restaurant,NA,1,NA,be,1,,,NA
stepgar,Stephan Garkisch,chef,2,1,NA,NA,1,,,NA
jeamat,Jean Matthieu,chef,2,1,NA,NA,1,,,NA
Rbricole,Bricole,restaurant,NA,1,NA,be,1,,,NA
stezei,Steven Zeidler,chef,2,1,deutsch,NA,1,,,NA
Rcookiescream,Cookies Cream,restaurant,NA,1,NA,be,1,,,NA
nichah,Nicholas Patrick Hahn,chef,2,1,deutsch,NA,1,,,NA
Rcordo,Cordo,restaurant,NA,1,NA,be,1,,,NA
yansto,Yannic Stockhausen,chef,2,1,deutsch,NA,1,,,NA
Rernst,ernst,restaurant,NA,1,NA,be,1,,,NA
dylwat,Dylan Watson-Brawn,chef,2,1,kanadisch,NA,1,,,NA
Rfaelt,faelt,restaurant,NA,1,NA,be,1,,,NA
bjosaw,Björn Swanson,chef,2,1,deutsch-US-amerikanischer,NA,1,,,NA
mickem,Michael Kempf,chef,2,2,deutsch,NA,1,,,NA
chrsom,Christian Somann,chef,2,1,NA,NA,1,,,NA
Rgolvet,GOLVET,restaurant,NA,1,NA,be,1,,,NA
jonzoe,Jonas Zörner,chef,2,1,deutsch,NA,1,,,NA
janrze,Jan Rzehak,chef,2,1,NA,NA,1,,,NA
Rhugos,Hugos,restaurant,NA,1,NA,be,1,,,NA
ebelan,Eberhard Lange,chef,2,1,deutsch,NA,1,,,NA
Rirmaladouce,Irma la Douce,restaurant,NA,1,NA,be,1,,,NA
fracon,Francesco Contiero,chef,2,1,italienisch,NA,1,,,NA
Rnobelhartundschmutzig,Nobelhart & Schmutzig,restaurant,NA,1,NA,be,1,,,NA
micschä,Micha Schäfer ,chef,2,1,schweizerisch,NA,1,,,NA
Rrestaurantvillamerton,Restaurant Villa Merton,restaurant,NA,1,NA,he,1,,,NA
phigia,Philippe Giar,chef,2,1,NA,NA,1,,,NA
Rprism,prism,restaurant,NA,1,NA,be,1,,,NA
galmos,Gal Ben Moshe,chef,2,1,israelisch,NA,1,,,NA
Rrichard,Richard,restaurant,NA,1,NA,be,1,,,NA
